PRIMEIRO_NOME,ULTIMO_NOME,CARGO,DEPARTAMENTO,EMPRESA,CIDADE,UF,NOME,CONTA,EMAIL
Bryce,MoneyYo,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Bryce MoneyYo,Bryce.MoneyYo,Bryce.MoneyYo@contoso.com
Meg,Monster,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Meg Monster,Meg.Monster,Meg.Monster@contoso.com
Calin,Mosquito,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Calin Mosquito,Calin.Mosquito,Calin.Mosquito@contoso.com
Hailey,Mouth,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Hailey Mouth,Hailey.Mouth,Hailey.Mouth@contoso.com
Trey,Nail,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Trey Nail,Trey.Nail,Trey.Nail@contoso.com
Breanna,Navy,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Breanna Navy,Breanna.Navy,Breanna.Navy@contoso.com
Autumn,Necklace,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Autumn Necklace,Autumn.Necklace,Autumn.Necklace@contoso.com
Dawson,Needle,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Dawson Needle,Dawson.Needle,Dawson.Needle@contoso.com
Mason,Onion,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Mason Onion,Mason.Onion,Mason.Onion@contoso.com
Logan,PaintBrush,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Logan PaintBrush,Logan.PaintBrush,Logan.PaintBrush@contoso.com
Madison,Pants,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Madison Pants,Madison.Pants,Madison.Pants@contoso.com
